,start_station_name,value
247,Grove St PATH,367094
251,Hamilton Park,191999
327,Newport PATH,169966
261,Hoboken Terminal - River St & Hudson Pl,167827
328,Newport Pkwy,154112
303,Marin Light Rail,129687
356,South Waterfront Walkway - Sinatra Dr & 1 St,122922
260,Hoboken Terminal - Hudson St & Hudson Pl,116478
286,Liberty Light Rail,114630
355,Sip Ave,114609
253,Harborside,111164
128,City Hall,111057
427,Warren St,108776
325,Newark Ave,104774
372,Van Vorst Park,92888
315,Morris Canal,92798
140,Columbus Drive,91766
432,Washington St,90837
129,City Hall - Washington St & 1 St,87742
334,Paulus Hook,85357
